Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil)
C21,4.7uF/16V,BottomLayer,0603_C,98.268,-195,0,贴片电容,98.268,-195,67.953,-195
C20,100nF/50V,BottomLayer,0603_C,873.032,-474.409,180,贴片电容,873.032,-474.409,903.346,-474.409
C19,100nF/50V,BottomLayer,0603_C,669.252,-615,180,贴片电容,669.252,-615,699.567,-615
C18,4.7uF/16V,BottomLayer,0603_C,669.252,-685,180,贴片电容,669.252,-685,699.567,-685
C17,100nF/16V,BottomLayer,0402_C,820,-665,90,贴片电容,820,-665,820,-681.732
C16,100nF/50V,BottomLayer,0603_C,285,307.52,0,贴片电容,285,307.52,254.685,307.52
C15,1uF/50V,BottomLayer,0603_C,285,232.48,0,贴片电容,285,232.48,254.685,232.48
C14,100nF/50V,BottomLayer,0603_C,285,-27.48,0,贴片电容,285,-27.48,254.685,-27.48
C13,1uF/50V,BottomLayer,0603_C,285,-97.48,0,贴片电容,285,-97.48,254.685,-97.48
C12,100nF/16V,BottomLayer,0402_C,-899.606,371.063,270,贴片电容,-899.606,371.063,-899.606,387.795
C11,1.0uF/25V,BottomLayer,0402_C,-789.37,185.157,180,贴片电容,-789.37,185.157,-772.638,185.157
C10,100nF/16V,BottomLayer,0402_C,-789.37,240.157,180,贴片电容,-789.37,240.157,-772.638,240.157
C9,1.0uF/25V,BottomLayer,0402_C,-203.583,329.685,0,贴片电容,-203.583,329.685,-220.315,329.685
C8,100nF/16V,BottomLayer,0402_C,-234.252,-120.079,180,贴片电容,-234.252,-120.079,-217.52,-120.079
C7,1.0uF/25V,BottomLayer,0402_C,-234.252,-175,180,贴片电容,-234.252,-175,-217.52,-175
C6,100nF/16V,BottomLayer,0402_C,-541.221,215,0,贴片电容,-541.221,215,-557.953,215
C5,1.0uF/25V,BottomLayer,0402_C,-541.221,270,0,贴片电容,-541.221,270,-557.953,270
C4,100nF/16V,BottomLayer,0402_C,-203.583,274.685,0,贴片电容,-203.583,274.685,-220.315,274.685
C3,100nF/16V,BottomLayer,0402_C,-203.583,384.685,180,贴片电容,-203.583,384.685,-186.85,384.685
C2,22pF/50V,BottomLayer,0402_C,-407.795,367.205,270,贴片电容,-407.795,367.205,-407.795,383.937
C1,22pF/50V,BottomLayer,0402_C,-309.37,367.205,270,贴片电容,-309.37,367.205,-309.37,383.937
